# stars45degtime,stars45degbarDist,stars45degdiskDist,stars90degtime,stars90degbarDist,stars90degdiskDist,stars0degtime,stars0degbarDist,stars0degdiskDist,stars0deg_retrotime,stars0deg_retrobarDist,stars0deg_retrodiskDist
   3.27500,    0.00558,    0.05384,    3.27500,    0.01970,    0.34428,    3.27500,    0.00520,    0.03264,    3.27500,    0.01657,    0.08349
   3.30000,    0.01102,    0.15396,    3.30000,    0.00932,    0.32394,    3.30000,    0.00968,    0.07473,    3.30000,    0.01606,    0.06991
   3.32500,    0.00718,    0.27765,    3.32500,    0.01826,    0.29100,    3.32500,    0.00810,    0.10456,    3.32500,    0.00693,    0.07944
   3.35000,    0.01619,    0.38936,    3.35000,    0.01678,    0.28251,    3.35000,    0.00720,    0.12086,    3.35000,    0.01105,    0.13586
   3.37500,    0.00356,    0.47571,    3.37500,    0.00606,    0.29729,    3.37500,    0.00448,    0.14770,    3.37500,    0.00673,    0.11431
   3.40000,    0.00562,    0.48189,    3.40000,    0.00227,    0.32599,    3.40000,    0.01410,    0.14417,    3.40000,    0.00375,    0.09697
   3.42500,    0.00212,    0.45064,    3.42500,    0.01702,    0.31294,    3.42500,    0.01051,    0.10223,    3.42500,    0.00943,    0.04583
   3.45000,    0.01173,    0.39178,    3.45000,    0.01712,    0.27945,    3.45000,    0.00768,    0.06616,    3.45000,    0.00704,    0.02590
   3.47500,    0.01528,    0.35442,    3.47500,    0.00847,    0.22679,    3.47500,    0.01670,    0.03267,    3.47500,    0.00911,    0.05212
   3.50000,    0.00868,    0.27438,    3.50000,    0.00552,    0.18446,    3.50000,    0.00095,    0.04798,    3.50000,    0.01808,    0.08711
   3.52500,    0.00160,    0.24576,    3.52500,    0.01137,    0.16033,    3.52500,    0.01175,    0.09476,    3.52500,    0.01554,    0.05727
   3.55000,    0.00717,    0.18172,    3.55000,    0.03156,    0.17294,    3.55000,    0.00650,    0.11722,    3.55000,    0.00476,    0.03934
   3.57500,    0.00712,    0.13799,    3.57500,    0.00530,    0.11684,    3.57500,    0.00500,    0.12171,    3.57500,    0.00408,    0.10698
   3.60000,    0.01881,    0.02252,    3.60000,    0.01231,    0.08453,    3.60000,    0.00590,    0.10052,    3.60000,    0.00567,    0.16239
   3.62500,    0.00655,    0.06303,    3.62500,    0.01031,    0.04488,    3.62500,    0.01205,    0.05072,    3.62500,    0.01801,    0.17644
   3.65000,    0.01953,    0.15728,    3.65000,    0.00617,    0.03756,    3.65000,    0.00605,    0.08557,    3.65000,    0.00984,    0.17887
   3.67500,    0.00924,    0.23952,    3.67500,    0.01188,    0.09643,    3.67500,    0.00325,    0.14558,    3.67500,    0.00662,    0.15640
   3.70000,    0.00917,    0.25373,    3.70000,    0.01139,    0.13976,    3.70000,    0.00486,    0.22712,    3.70000,    0.00367,    0.13363
   3.72500,    0.00555,    0.26045,    3.72500,    0.00083,    0.11110,    3.72500,    0.01772,    0.27620,    3.72500,    0.01382,    0.19566
   3.75000,    0.00646,    0.25062,    3.75000,    0.00874,    0.08858,    3.75000,    0.02159,    0.22007,    3.75000,    0.00669,    0.19959
   3.77500,    0.01163,    0.25204,    3.77500,    0.00887,    0.08485,    3.77500,    0.01112,    0.23043,    3.77500,    0.02006,    0.21821
   3.80000,    0.00744,    0.23441,    3.80000,    0.00288,    0.14953,    3.80000,    0.01111,    0.21276,    3.80000,    0.00939,    0.15101
   3.82500,    0.00290,    0.20751,    3.82500,    0.01389,    0.25779,    3.82500,    0.01124,    0.21634,    3.82500,    0.00125,    0.05681
   3.85000,    0.00424,    0.18004,    3.85000,    0.00930,    0.30229,    3.85000,    0.00435,    0.20725,    3.85000,    0.01077,    0.08650
   3.87500,    0.01286,    0.13075,    3.87500,    0.01448,    0.29128,    3.87500,    0.00654,    0.18906,    3.87500,    0.00889,    0.15246
   3.90000,    0.01379,    0.12308,    3.90000,    0.00553,    0.29979,    3.90000,    0.00248,    0.15266,    3.90000,    0.01485,    0.14706
   3.92500,    0.00701,    0.14590,    3.92500,    0.01246,    0.28778,    3.92500,    0.01649,    0.08089,    3.92500,    0.00460,    0.13601
   3.95000,    0.00951,    0.18588,    3.95000,    0.00765,    0.24175,    3.95000,    0.00889,    0.06404,    3.95000,    0.01784,    0.10192
   3.97500,    0.00449,    0.25243,    3.97500,    0.00736,    0.16974,    3.97500,    0.01971,    0.05774,    3.97500,    0.01265,    0.09737
   4.00000,    0.02863,    0.27033,    4.00000,    0.01684,    0.17120,    4.00000,    0.00563,    0.09643,    4.00000,    0.01374,    0.07436
   4.00000,    0.02863,    0.27033,    4.00000,    0.01684,    0.17120,    4.00000,    0.00564,    0.09631,    4.00000,    0.01373,    0.07416
