# stars45degtime,stars45degbarDist,stars45degdiskDist,stars90degtime,stars90degbarDist,stars90degdiskDist,stars0degtime,stars0degbarDist,stars0degdiskDist,stars0deg_retrotime,stars0deg_retrobarDist,stars0deg_retrodiskDist
   2.82500,    0.00685,    0.20974,    2.82500,    0.00502,    0.28037,    2.82500,    0.00945,    0.03645,    2.82500,    0.01851,    0.21024
   2.85000,    0.01643,    0.18066,    2.85000,    0.01707,    0.23414,    2.85000,    0.01415,    0.03958,    2.85000,    0.01168,    0.23971
   2.87500,    0.02134,    0.19959,    2.87500,    0.01932,    0.20782,    2.87500,    0.01601,    0.04726,    2.87500,    0.01104,    0.23079
   2.90000,    0.01181,    0.17243,    2.90000,    0.00794,    0.22046,    2.90000,    0.01186,    0.04561,    2.90000,    0.02756,    0.24045
   2.92500,    0.01577,    0.12721,    2.92500,    0.01385,    0.23343,    2.92500,    0.00821,    0.06607,    2.92500,    0.00776,    0.22910
   2.95000,    0.01131,    0.03486,    2.95000,    0.00943,    0.18913,    2.95000,    0.00851,    0.09155,    2.95000,    0.00220,    0.20003
   2.97500,    0.01755,    0.02350,    2.97500,    0.00268,    0.18864,    2.97500,    0.00932,    0.09010,    2.97500,    0.00209,    0.19049
   3.00000,    0.01085,    0.04972,    3.00000,    0.01984,    0.20950,    3.00000,    0.01160,    0.13243,    3.00000,    0.01523,    0.20298
   3.02500,    0.01074,    0.04622,    3.02500,    0.01387,    0.20480,    3.02500,    0.00231,    0.11360,    3.02500,    0.00269,    0.19674
   3.05000,    0.01675,    0.08845,    3.05000,    0.00580,    0.11742,    3.05000,    0.01923,    0.08884,    3.05000,    0.02746,    0.18176
   3.07500,    0.01566,    0.13439,    3.07500,    0.00837,    0.06344,    3.07500,    0.00544,    0.07811,    3.07500,    0.00482,    0.11635
   3.10000,    0.00984,    0.18220,    3.10000,    0.03966,    0.11994,    3.10000,    0.01291,    0.08403,    3.10000,    0.00790,    0.11331
   3.12500,    0.00317,    0.19302,    3.12500,    0.01815,    0.14518,    3.12500,    0.00643,    0.08557,    3.12500,    0.01718,    0.10454
   3.15000,    0.01977,    0.15771,    3.15000,    0.04244,    0.16984,    3.15000,    0.04219,    0.07361,    3.15000,    0.01540,    0.11958
   3.17500,    0.02053,    0.18574,    3.17500,    0.02105,    0.22856,    3.17500,    0.02399,    0.02728,    3.17500,    0.01128,    0.10678
   3.20000,    0.00340,    0.17557,    3.20000,    0.00648,    0.25906,    3.20000,    0.02397,    0.06804,    3.20000,    0.01449,    0.11089
   3.22500,    0.01455,    0.20928,    3.22500,    0.01934,    0.29588,    3.22500,    0.01511,    0.10872,    3.22500,    0.00206,    0.11447
   3.25000,    0.01924,    0.14164,    3.25000,    0.01412,    0.30946,    3.25000,    0.00920,    0.08860,    3.25000,    0.00800,    0.12351
   3.27500,    0.01316,    0.13331,    3.27500,    0.02244,    0.24270,    3.27500,    0.02550,    0.08552,    3.27500,    0.05307,    0.11694
   3.30000,    0.00762,    0.11014,    3.30000,    0.00942,    0.17476,    3.30000,    0.01663,    0.11931,    3.30000,    0.01308,    0.13375
   3.32500,    0.00648,    0.13171,    3.32500,    0.01337,    0.14323,    3.32500,    0.00700,    0.18365,    3.32500,    0.00127,    0.12048
   3.35000,    0.02289,    0.15361,    3.35000,    0.03264,    0.14496,    3.35000,    0.00748,    0.20642,    3.35000,    0.00589,    0.11991
   3.37500,    0.01309,    0.17244,    3.37500,    0.00510,    0.10395,    3.37500,    0.00610,    0.20132,    3.37500,    0.01415,    0.17800
   3.40000,    0.01415,    0.10945,    3.40000,    0.00719,    0.04188,    3.40000,    0.01668,    0.18422,    3.40000,    0.03005,    0.19932
   3.42500,    0.00292,    0.04926,    3.42500,    0.01232,    0.04878,    3.42500,    0.00785,    0.19405,    3.42500,    0.00971,    0.16542
   3.45000,    0.00968,    0.07155,    3.45000,    0.01131,    0.13047,    3.45000,    0.01495,    0.22703,    3.45000,    0.02318,    0.06303
   3.47500,    0.01929,    0.14633,    3.47500,    0.01034,    0.13831,    3.47500,    0.02154,    0.24106,    3.47500,    0.01843,    0.02490
   3.50000,    0.01793,    0.17522,    3.50000,    0.00674,    0.14206,    3.50000,    0.00276,    0.19385,    3.50000,    0.02063,    0.03378
   3.52500,    0.02334,    0.20105,    3.52500,    0.02308,    0.11642,    3.52500,    0.03533,    0.12891,    3.52500,    0.00951,    0.05679
   3.55000,    0.00674,    0.27116,    3.55000,    0.03397,    0.11309,    3.55000,    0.00843,    0.06053,    3.55000,    0.01540,    0.05779
   3.57500,    0.01595,    0.29982,    3.57500,    0.00909,    0.06742,    3.57500,    0.00416,    0.09705,    3.57500,    0.00401,    0.14725
   3.60000,    0.01531,    0.27879,    3.60000,    0.00305,    0.06108,    3.60000,    0.01177,    0.09571,    3.60000,    0.00404,    0.16711
   3.62500,    0.00910,    0.27533,    3.62500,    0.02650,    0.06220,    3.62500,    0.00871,    0.12176,    3.62500,    0.00292,    0.16998
   3.65000,    0.00344,    0.27832,    3.65000,    0.02921,    0.04673,    3.65000,    0.02877,    0.12280,    3.65000,    0.01352,    0.15889
   3.67500,    0.01838,    0.24961,    3.67500,    0.02029,    0.07788,    3.67500,    0.01463,    0.13635,    3.67500,    0.02415,    0.14589
